exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,306,4358,18,275.0,325.0
Medicine_pareto_test_20260511T201320,307,4361,3,60.0,65.0
Medicine_pareto_test_20260511T201320,308,4372,11,160.0,195.0
Medicine_pareto_test_20260511T201320,309,4385,13,285.0,320.0
Medicine_pareto_test_20260511T201320,310,4388,3,60.0,65.0
Medicine_pareto_test_20260511T201320,311,4393,5,75.0,90.0
Medicine_pareto_test_20260511T201320,312,4399,6,110.0,170.0
Medicine_pareto_test_20260511T201320,313,4405,6,80.0,100.0
Medicine_pareto_test_20260511T201320,314,4416,11,195.0,170.0
Medicine_pareto_test_20260511T201320,315,4423,7,135.0,170.0
Medicine_pareto_test_20260511T201320,316,4426,3,60.0,65.0
Medicine_pareto_test_20260511T201320,317,4437,11,170.0,225.0
Medicine_pareto_test_20260511T201320,318,4442,5,90.0,125.0
Medicine_pareto_test_20260511T201320,319,4448,6,125.0,85.0
Medicine_pareto_test_20260511T201320,320,4458,10,210.0,130.0
Medicine_pareto_test_20260511T201320,321,4465,7,125.0,140.0
Medicine_pareto_test_20260511T201320,322,4468,3,60.0,65.0
Medicine_pareto_test_20260511T201320,323,4478,10,195.0,235.0
Medicine_pareto_test_20260511T201320,324,4487,9,170.0,115.0
Medicine_pareto_test_20260511T201320,325,4503,16,260.0,370.0
Medicine_pareto_test_20260511T201320,326,4512,9,155.0,200.0
Medicine_pareto_test_20260511T201320,327,4527,15,280.0,285.0
Medicine_pareto_test_20260511T201320,328,4540,13,240.0,195.0
Medicine_pareto_test_20260511T201320,329,4555,15,250.0,265.0
Medicine_pareto_test_20260511T201320,330,4569,14,290.0,190.0
Medicine_pareto_test_20260511T201320,331,4573,4,65.0,75.0
Medicine_pareto_test_20260511T201320,332,4582,9,155.0,200.0
Medicine_pareto_test_20260511T201320,333,4588,6,110.0,170.0
Medicine_pareto_test_20260511T201320,334,4595,7,110.0,175.0
Medicine_pareto_test_20260511T201320,335,4612,17,310.0,225.0
Medicine_pareto_test_20260511T201320,336,4620,8,180.0,140.0
Medicine_pareto_test_20260511T201320,337,4641,21,385.0,380.0
Medicine_pareto_test_20260511T201320,338,4650,9,125.0,180.0
Medicine_pareto_test_20260511T201320,339,4657,7,130.0,95.0
Medicine_pareto_test_20260511T201320,340,4671,14,225.0,215.0
Medicine_pareto_test_20260511T201320,341,4676,5,100.0,85.0
Medicine_pareto_test_20260511T201320,342,4681,5,120.0,75.0
Medicine_pareto_test_20260511T201320,343,4687,6,115.0,125.0
Medicine_pareto_test_20260511T201320,344,4697,10,190.0,280.0
Medicine_pareto_test_20260511T201320,345,4702,5,95.0,80.0
Medicine_pareto_test_20260511T201320,346,4706,4,90.0,70.0
Medicine_pareto_test_20260511T201320,347,4712,6,105.0,165.0
Medicine_pareto_test_20260511T201320,348,4726,14,250.0,210.0
Medicine_pareto_test_20260511T201320,349,4739,13,235.0,170.0
Medicine_pareto_test_20260511T201320,350,4745,6,80.0,100.0
Medicine_pareto_test_20260511T201320,351,4754,9,140.0,145.0
Medicine_pareto_test_20260511T201320,352,4758,4,70.0,80.0
Medicine_pareto_test_20260511T201320,353,4761,3,60.0,65.0
Medicine_pareto_test_20260511T201320,354,4774,13,240.0,195.0
Medicine_pareto_test_20260511T201320,355,4794,20,340.0,340.0
Medicine_pareto_test_20260511T201320,356,4797,3,60.0,65.0
Medicine_pareto_test_20260511T201320,357,4803,6,95.0,135.0
Medicine_pareto_test_20260511T201320,358,4808,5,100.0,155.0
Medicine_pareto_test_20260511T201320,359,4814,6,95.0,135.0
Medicine_pareto_test_20260511T201320,360,4822,8,145.0,115.0
Medicine_pareto_test_20260511T201320,361,4830,8,170.0,110.0
Medicine_pareto_test_20260511T201320,362,4838,8,170.0,110.0
Medicine_pareto_test_20260511T201320,363,4843,5,100.0,85.0
Medicine_pareto_test_20260511T201320,364,4852,9,135.0,140.0
Medicine_pareto_test_20260511T201320,365,4866,14,210.0,230.0
Medicine_pareto_test_20260511T201320,366,4874,8,145.0,185.0
Medicine_pareto_test_20260511T201320,367,4920,46,745.0,735.0
Medicine_pareto_test_20260511T201320,368,4923,3,60.0,65.0
Medicine_pareto_test_20260511T201320,369,4931,8,150.0,120.0
Medicine_pareto_test_20260511T201320,370,4937,6,105.0,95.0
Medicine_pareto_test_20260511T201320,371,4940,3,60.0,65.0
Medicine_pareto_test_20260511T201320,372,4943,3,60.0,65.0
Medicine_pareto_test_20260511T201320,373,4950,7,130.0,145.0
Medicine_pareto_test_20260511T201320,374,4953,3,60.0,65.0
Medicine_pareto_test_20260511T201320,375,4970,17,260.0,405.0
Medicine_pareto_test_20260511T201320,376,4973,3,60.0,65.0
